File,Line,Column,Type,Message,Source,Severity,Fixable
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/Aws_v1/lib/requestcore/requestcore.class.php",626,29,error,"The constant \"CURLOPT_CLOSEPOLICY\" is removed since PHP 5.6",PHPCompatibility.Constants.RemovedConstants.curlopt_closepolicyRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/Aws_v1/lib/requestcore/requestcore.class.php",626,50,error,"The constant \"CURLCLOSEPOLICY_LEAST_RECENTLY_USED\" is removed since PHP 5.6",PHPCompatibility.Constants.RemovedConstants.curlclosepolicy_least_recently_usedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/SwiftMailer/classes/Swift/KeyCache/DiskKeyCache.php",182,25,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/SwiftMailer/classes/Swift/KeyCache/DiskKeyCache.php",189,25,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/SwiftMailer/classes/Swift/KeyCache/DiskKeyCache.php",209,25,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/SwiftMailer/classes/Swift/KeyCache/DiskKeyCache.php",215,25,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/SwiftMailer/classes/Swift/ByteStream/FileByteStream.php",86,25,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/SwiftMailer/classes/Swift/ByteStream/FileByteStream.php",90,25,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/OpenCloud/OpenCloud/DNS/Object.php",20,10,error,"'object' is a soft reserved keyword as of PHP version 7.0 and a reserved keyword as of PHP version 7.2 and should not be used to name a class, interface or trait or as part of a namespace (T_CLASS)",PHPCompatibility.Keywords.ForbiddenNamesAsDeclared.objectFound,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR.php",844,32,error,"Since PHP 7.0, functions inspecting arguments, like debug_backtrace(), no longer report the original value as passed to a parameter, but will instead provide the current value. The parameter \"$mode\" was changed on line 830.",PHPCompatibility.FunctionUse.ArgumentFunctionsReportCurrentValue.Changed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mimeDecode.php",762,12,error,"preg_replace() - /e modifier is deprecated since PHP 5.5 and removed since PHP 7.0",PHPCompatibility.ParameterValues.RemovedPCREModifiers.Removed,5,0
